Lookup IP,Mobile,Date,Proxy,ISP,Organization,ASN,Host,Country Code,City,Region,Latitude,Longitude,Strictness Level,TOR,VPN,Active TOR,Active VPN,Connection Type,Abuse Velocity,Recent Abuse,Bot Status,Fraud Score,Browser,OS,Brand,Model,User Activity,Original Column 1
128.138.65.216,FALSE,2022-03-23T14:47:02-04:00,FALSE,University of Colorado at Boulder,University of Colorado at Boulder,104,ucb-np2-216.colorado.edu,US,Boulder,Colorado,40.09000015,-105.37000275,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,128.138.65.216
85.255.234.132,FALSE,2022-03-23T14:47:02-04:00,FALSE,Vodafone,Vodafone,25135,85.255.234.132,GB,London,England,51.50999832,-0.09,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,85.255.234.132
166.137.244.120,FALSE,2022-03-23T14:47:02-04:00,FALSE,AT&T Wireless,AT&T Wireless,20057,mobile-166-137-244-120.mycingular.net,US,Norristown,Pennsylvania,40.19,-75.35,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,166.137.244.120
78.87.56.246,FALSE,2022-03-23T14:47:02-04:00,FALSE,Vodafone Greece,Vodafone Greece,3329,78-56-246.adsl.cyta.gr,GR,Sparti,Peloponnese,37.06999969,22.43000031,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,78.87.56.246
37.26.146.189,FALSE,2022-03-23T14:47:02-04:00,FALSE,Golan Telecom,Golan Telecom,198484,37.26.146.189,IL,Netanya,Central District,32.33000183,34.86000061,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,37.26.146.189
85.228.195.15,FALSE,2022-03-23T14:47:02-04:00,FALSE,Telenor Sverige AB,Telenor Sverige AB,2119,c-0fc3e455.012-78-6d6c6d4.bbcust.telenor.se,SE,Malmo,Skne County,55.59999847,13,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,85.228.195.15
142.169.78.117,FALSE,2022-03-23T14:47:03-04:00,TRUE,Telus Communications,Telus Communications,852,142.169.78.117,CA,Boucherville,Quebec,45.59,-73.42,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,TRUE,TRUE,100,N/A,N/A,N/A,N/A,N/A,142.169.78.117
217.126.82.237,FALSE,2022-03-23T14:47:03-04:00,TRUE,Telefonica de Espana Static IP,Telefonica de Espana Static IP,3352,237.red-217-126-82.staticip.rima-tde.net,ES,Masquefa,Catalonia,41.5,1.80999994,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,70,N/A,N/A,N/A,N/A,N/A,217.126.82.237
131.210.235.0,FALSE,2022-03-23T14:47:03-04:00,FALSE,University of Wisconsin System,University of Wisconsin System,3128,131.210.235.0,US,Kenosha,Wisconsin,42.58000183,-87.81999969,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,131.210.235.0
110.54.246.22,FALSE,2022-03-23T14:47:03-04:00,FALSE,Globe Telecom,Globe Telecom,132199,110.54.246.22,PH,Lahug,Central Visayas,10.32999992,123.90000153,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,110.54.246.22
98.6.97.26,FALSE,2022-03-23T14:47:04-04:00,TRUE,Spectrum Business,Spectrum Business,11427,rrcs-98-6-97-26.sw.biz.rr.com,US,Dallas,Texas,32.77999878,-96.81999969,1,FALSE,TRUE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,78,N/A,N/A,N/A,N/A,N/A,98.6.97.26
72.136.121.194,FALSE,2022-03-23T14:47:04-04:00,FALSE,Rogers Cable,Rogers Cable,812,cpef0f249a0c4b3-cmf0f249a0c4b0.cpe.net.cable.rogers.com,CA,Midland,Ontario,44.73,-79.91,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,72.136.121.194
104.14.151.41,FALSE,2022-03-23T14:47:04-04:00,FALSE,AT&T Internet Services,AT&T Internet Services,7018,104.14.151.41,US,Palmetto Bay,Florida,25.61,-80.35,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,104.14.151.41
71.57.194.160,FALSE,2022-03-23T14:47:04-04:00,FALSE,Comcast Cable,Comcast Cable,7922,c-71-57-194-160.hsd1.va.comcast.net,US,Front Royal,Virginia,38.91,-78.16,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,71.57.194.160
186.11.76.144,FALSE,2022-03-23T14:47:05-04:00,FALSE,Entel Chile,Entel Chile,27651,client-186-11-76-144.imovil.entelpcs.cl,CL,Santiago,Santiago Metropolitan,-33.45000076,-70.66999817,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,186.11.76.144
70.27.9.3,FALSE,2022-03-23T14:47:05-04:00,FALSE,Bell DSL Internet,Bell DSL Internet,577,bras-base-stckon0807w-grc-43-70-27-9-3.dsl.bell.ca,CA,Burlington,Ontario,43.35,-79.76,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,70.27.9.3
212.17.72.28,FALSE,2022-03-23T14:47:05-04:00,FALSE,Magenta Telekom,Magenta Telekom,8412,212-17-72-28.cable.dynamic.surfer.at,AT,Vienna,Vienna,48.20000076,16.37000084,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,212.17.72.28
101.165.234.95,FALSE,2022-03-23T14:47:05-04:00,FALSE,Telstra Internet,Telstra Internet,1221,cpe-101-165-234-95.vb08.vic.asp.telstra.net,AU,Melbourne,Victoria,-37.81000137,144.96000671,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,101.165.234.95
121.213.112.221,FALSE,2022-03-23T14:47:05-04:00,FALSE,Telstra Internet,Telstra Internet,1221,cpe-121-213-112-221.vb01.vic.asp.telstra.net,AU,Kew,Victoria,-37.81999969,145.02999878,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,121.213.112.221
122.111.105.247,FALSE,2022-03-23T14:47:06-04:00,FALSE,Optus,Optus,4804,n122-111-105-247.meb3.vic.optusnet.com.au,AU,Melbourne,Victoria,-37.81000137,144.96000671,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,122.111.105.247
116.251.198.183,FALSE,2022-03-23T14:47:06-04:00,FALSE,TrustPower,TrustPower,55850,ip-116-251-198-183.kinect.net.nz,NZ,Tauranga,Bay of Plenty,-37.68999863,176.16999817,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,116.251.198.183
101.53.216.251,FALSE,2022-03-23T14:47:07-04:00,FALSE,TrustPower,TrustPower,55850,ip-101-53-216-251.kinect.net.nz,NZ,Wellington,Wellington,-41.29999924,174.77999878,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,20,N/A,N/A,N/A,N/A,N/A,101.53.216.251
220.238.203.125,FALSE,2022-03-23T14:47:08-04:00,FALSE,Optus,Optus,4804,n220-238-203-125.mas2.nsw.optusnet.com.au,AU,Sydney,New South Wales,-33.86000061,151.21000671,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,220.238.203.125
1.127.106.212,FALSE,2022-03-23T14:47:09-04:00,FALSE,Telstra Internet,Telstra Internet,1221,1.127.106.212,AU,Perth,Western Australia,-31.95000076,115.86000061,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,1.127.106.212
91.119.109.130,FALSE,2022-03-23T14:47:10-04:00,FALSE,Magenta Telekom,Magenta Telekom,8412,91-119-109-130.dsl.dynamic.surfer.at,AT,Vienna,Vienna,48.20000076,16.37000084,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,91.119.109.130
27.116.38.227,FALSE,2022-03-23T14:47:02-04:00,TRUE,Binary Networks,Binary Networks Pty,55581,static-38-227.mel.0101.net.au,AU,Carnegie,Victoria,-37.88000107,145.07000732,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,70,N/A,N/A,N/A,N/A,N/A,27.116.38.227
194.223.187.105,FALSE,2022-03-23T14:47:03-04:00,FALSE,TPG Internet,TPG Internet,7545,194-223-187-105.tpgi.com.au,AU,Perth,Western Australia,-31.95000076,115.86000061,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,194.223.187.105
93.30.169.163,FALSE,2022-03-23T14:47:04-04:00,FALSE,SFR,SFR,15557,163.169.30.93.rev.sfr.net,FR,Strasbourg,Grand Est,48.59999847,7.78999996,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,93.30.169.163
60.225.242.145,FALSE,2022-03-23T14:47:05-04:00,FALSE,Telstra Internet,Telstra Internet,1221,cpe-60-225-242-145.sb01.wa.asp.telstra.net,AU,Adelaide,South Australia,-34.93000031,138.6000061,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,60.225.242.145
144.136.220.237,FALSE,2022-03-23T14:47:06-04:00,FALSE,Telstra Internet,Telstra Internet,1221,144.136.220.237,AU,Kew East,Victoria,-37.79999924,145.02999878,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,144.136.220.237
167.62.217.192,FALSE,2022-03-23T14:47:07-04:00,FALSE,Antel Uruguay,Antel Uruguay,6057,r167-62-217-192.dialup.adsl.anteldata.net.uy,UY,Montevideo,Departamento de Montevideo,-34.86000061,-56.16999817,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,167.62.217.192
114.134.4.88,FALSE,2022-03-23T14:47:07-04:00,TRUE,Lightwire Limited,Lightwire Limited,45267,remote.coombesjohnstonbmw.co.nz,NZ,Hamilton,Waikato,-37.77999878,175.27999878,1,FALSE,TRUE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,75,N/A,N/A,N/A,N/A,N/A,114.134.4.88
114.129.182.76,FALSE,2022-03-23T14:47:09-04:00,FALSE,SkyMesh,SkyMesh,7477,114.129.182.76,AU,Eden Creek,New South Wales,-38.16999817,145.13999939,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,114.129.182.76
58.7.213.137,FALSE,2022-03-23T14:47:10-04:00,FALSE,iiNet Limited,iiNet Limited,7545,58-7-213-137.dyn.iinet.net.au,AU,Perth,Western Australia,-31.95000076,115.86000061,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,58.7.213.137
106.71.112.74,FALSE,2022-03-23T14:47:10-04:00,FALSE,Optus,Optus,4804,n106-71-112-74.rdl2.qld.optusnet.com.au,AU,Bundaberg,Queensland,-24.87000084,152.3500061,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,106.71.112.74
193.83.57.92,FALSE,2022-03-23T14:47:11-04:00,FALSE,A1 Telekom Austria,A1 Telekom Austria,1901,193-83-57-92.adsl.highway.telekom.at,AT,Radfeld,Tyrol,47.45000076,11.92000008,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,193.83.57.92
122.199.60.98,FALSE,2022-03-23T14:47:11-04:00,FALSE,Superloop,Superloop,38195,122.199.60.98,AU,Melbourne,Victoria,-37.81000137,144.96000671,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,122.199.60.98
90.146.173.244,FALSE,2022-03-23T14:47:12-04:00,FALSE,LIWEST Kabelmedien GmbH,LIWEST Kabelmedien GmbH,12605,cpe90-146-173-244.liwest.at,AT,Linz,Upper Austria,48.29999924,14.30000019,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,90.146.173.244
60.227.103.79,FALSE,2022-03-23T14:47:13-04:00,FALSE,Telstra Internet,Telstra Internet,1221,cpe-60-227-103-79.nb01.nsw.asp.telstra.net,AU,Sydney,New South Wales,-33.86000061,151.21000671,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,60.227.103.79
110.175.165.167,FALSE,2022-03-23T14:47:14-04:00,FALSE,TPG Internet,TPG Internet,7545,110-175-165-167.tpgi.com.au,AU,Toorak,Victoria,-37.84999847,145.02000427,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,110.175.165.167
58.172.217.103,FALSE,2022-03-23T14:47:15-04:00,FALSE,Telstra Internet,Telstra Internet,1221,cpe-58-172-217-103.tb02.tas.asp.telstra.net,AU,Launceston,Tasmania,-41.43999863,147.13000488,1,FALSE,FALSE,FALSE,FALSE,Premium required.,Premium required.,FALSE,FALSE,0,N/A,N/A,N/A,N/A,N/A,58.172.217.103
