success,message,fraud_score,country_code,region,city,ISP,ASN,organization,is_crawler,timezone,mobile,host,proxy,vpn,tor,active_vpn,active_tor,recent_abuse,bot_status,connection_type,abuse_velocity,zip_code,latitude,longitude,request_id,ip
True,Success,0.0,US,Colorado,Boulder,University of Colorado at Boulder,104.0,University of Colorado at Boulder,False,America/Denver,False,ucb-np2-216.colorado.edu,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,40.09000015,-105.37000275,2o0rbsboTW,128.138.65.216
True,Success,100.0,GB,England,London,Vodafone,25135.0,Vodafone,False,Europe/London,False,85.255.234.132,True,False,False,False,False,True,True,Premium required.,Premium required.,N/A,51.50999832,-0.09,2o0rdXMI3x,85.255.234.132
True,Success,0.0,US,Pennsylvania,Norristown,AT&T Wireless,20057.0,AT&T Wireless,False,America/New_York,False,mobile-166-137-244-120.mycingular.net,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,40.19,-75.35,2o0rf8QJTg,166.137.244.120
True,Success,0.0,GR,West Greece,Zacharo,Vodafone Greece,3329.0,Vodafone Greece,False,Europe/Athens,False,78-56-246.adsl.cyta.gr,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,37.47999954,21.64999962,2o0rgPLAve,78.87.56.246
True,Success,7.0,IL,HaMerkaz,Petah Tikva,Golan Telecom,198484.0,Golan Telecom,False,Asia/Jerusalem,False,37.26.146.189,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,32.11999893,34.91999817,2o0rhrsj0o,37.26.146.189
True,Success,0.0,SE,Skne County,Malmo,Telenor Sverige AB,2119.0,Telenor Sverige AB,False,Europe/Stockholm,False,c-0fc3e455.012-78-6d6c6d4.bbcust.telenor.se,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,55.59999847,13.0,2o0rjgrBtv,85.228.195.15
True,Success,100.0,CA,Quebec,Boucherville,Telus Communications,852.0,Telus Communications,False,America/Toronto,False,142.169.78.117,True,False,False,False,False,True,True,Premium required.,Premium required.,N/A,45.59,-73.42,2o0rmyfLqV,142.169.78.117
True,Success,70.0,ES,Catalonia,Sant Cugat del Valls,Telefonica de Espana Static IP,3352.0,Telefonica de Espana Static IP,False,Europe/Madrid,False,237.red-217-126-82.staticip.rima-tde.net,True,False,False,False,False,False,False,Premium required.,Premium required.,N/A,27.76000023,-15.57999992,2o0roUKsBn,217.126.82.237
True,Success,0.0,US,Wisconsin,Milwaukee,University of Wisconsin System,3128.0,University of Wisconsin System,False,America/Chicago,False,131.210.235.0,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,43.04000092,-87.88999939,2o0rpsuoUU,131.210.235.0
True,Success,22.0,PH,Central Visayas,Lahug,Globe Telecom,132199.0,Globe Telecom,False,Asia/Manila,False,110.54.246.22,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,10.32999992,123.90000153,2o0rrIL9Q2,110.54.246.22
True,Success,78.0,US,Texas,Austin,Spectrum Business,11427.0,Spectrum Business,False,America/Chicago,False,rrcs-98-6-97-26.sw.biz.rr.com,True,True,False,False,False,False,False,Premium required.,Premium required.,N/A,30.20999908,-97.80000305,2o0rtA97Ya,98.6.97.26
True,Success,0.0,CA,Ontario,Midland,Rogers Cable,812.0,Rogers Cable,False,America/Toronto,False,cpef0f249a0c4b3-cmf0f249a0c4b0.cpe.net.cable.rogers.com,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,44.73,-79.91,2o0rxYvrwT,72.136.121.194
True,Success,0.0,US,Florida,Palmetto Bay,AT&T Internet Services,7018.0,AT&T Internet Services,False,America/New_York,False,104.14.151.41,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,25.61,-80.35,2o0rypYXwD,104.14.151.41
True,Success,0.0,US,Virginia,Front Royal,Comcast Cable,7922.0,Comcast Cable,False,America/New_York,False,c-71-57-194-160.hsd1.va.comcast.net,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,38.91,-78.16,2o0s0LnUEr,71.57.194.160
True,Success,0.0,CL,Santiago Metropolitan,Santiago,Entel Chile,27651.0,Entel Chile,False,America/Santiago,False,client-186-11-76-144.imovil.entelpcs.cl,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-33.45000076,-70.66999817,2o0s1TuZv6,186.11.76.144
True,Success,0.0,CA,Ontario,Burlington,Bell DSL Internet,577.0,Bell DSL Internet,False,America/Toronto,False,bras-base-stckon0807w-grc-43-70-27-9-3.dsl.bell.ca,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,43.35,-79.76,2o0sDrRyd6,70.27.9.3
True,Success,0.0,AT,Vienna,Vienna,Magenta Telekom,8412.0,Magenta Telekom,False,Europe/Vienna,False,212-17-72-28.cable.dynamic.surfer.at,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,48.20000076,16.37000084,2o0sF2y71u,212.17.72.28
True,Success,0.0,AU,Victoria,Abbotsford,Telstra Internet,1221.0,Telstra Internet,False,Australia/Sydney,False,cpe-101-165-234-95.vb08.vic.asp.telstra.net,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-33.84999847,151.13000488,2o0sGEULl4,101.165.234.95
True,Success,0.0,AU,Victoria,Prahran,Telstra Internet,1221.0,Telstra Internet,False,Australia/Melbourne,False,cpe-121-213-112-221.vb01.vic.asp.telstra.net,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-37.84999847,145.0,2o0sHb4Mtq,121.213.112.221
True,Success,0.0,AU,Victoria,Melbourne,Optus,4804.0,Optus,False,Australia/Melbourne,False,n122-111-105-247.meb3.vic.optusnet.com.au,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-37.81000137,144.96000671,2o0sIzMk1Y,122.111.105.247
True,Success,30.0,NZ,Auckland,Auckland,TrustPower,55850.0,TrustPower,False,Pacific/Auckland,False,ip-116-251-198-183.kinect.net.nz,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-36.86999893,174.77000427,2o0sK6LMyl,116.251.198.183
True,Success,100.0,NZ,Wellington,Wellington,TrustPower,55850.0,TrustPower,False,Pacific/Auckland,False,ip-101-53-216-251.kinect.net.nz,True,False,False,False,False,True,True,Premium required.,Premium required.,N/A,-41.29999924,174.77999878,2o0sLD247h,101.53.216.251
True,Success,0.0,AU,New South Wales,Sydney,Optus,4804.0,Optus,False,Australia/Sydney,False,n220-238-203-125.mas2.nsw.optusnet.com.au,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-33.86000061,151.21000671,2o0sMZ365B,220.238.203.125
True,Success,7.0,AU,Western Australia,Perth,Telstra Internet,1221.0,Telstra Internet,False,Australia/Perth,False,1.127.106.212,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-31.95000076,115.86000061,2o0sNpxjVv,1.127.106.212
True,Success,0.0,AT,Vienna,Vienna,Magenta Telekom,8412.0,Magenta Telekom,False,Europe/Vienna,False,91-119-109-130.dsl.dynamic.surfer.at,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,48.20000076,16.37000084,2o0sOzUoGU,91.119.109.130
True,Success,30.0,AU,South Australia,Adelaide,Telstra Internet,1221.0,Telstra Internet,False,Australia/Adelaide,False,cpe-58-174-112-22.sb03.sa.asp.telstra.net,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-34.93000031,138.6000061,2o0sQ7tP5t,58.174.112.22
True,Success,30.0,UA,Odessa,Odessa,Briz,34661.0,Briz,False,Europe/Kiev,False,213.231.63.143.pool.breezein.net,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,46.45999908,30.73999977,2o0sROo23x,213.231.63.143
True,Success,0.0,AU,South Australia,Adelaide,Telstra Internet,1221.0,Telstra Internet,False,Australia/Adelaide,False,cpe-101-166-192-152.ejui-cr-101.fli.sa.bigpond.net.au,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-34.93000031,138.6000061,2o0sSW463R,101.166.192.152
True,Success,100.0,AU,South Australia,Adelaide,Exetel,10143.0,Exetel,False,Australia/Adelaide,False,60.185.70.115.static.exetel.com.au,True,True,False,False,False,True,True,Premium required.,Premium required.,N/A,-34.93000031,138.6000061,2o0sTfb6Eb,115.70.185.60
True,Success,100.0,AU,Victoria,Melbourne,Vocus Connect International Backbone,4826.0,Vocus Connect International Backbone,False,Australia/Melbourne,False,static-70.78.255.49.in-addr.VOCUS.net.au,True,True,False,False,False,True,True,Premium required.,Premium required.,N/A,-37.81000137,144.96000671,2o0sV6im32,49.255.78.70
True,Success,0.0,AU,Victoria,Melbourne,Telstra Internet,1221.0,Telstra Internet,False,Australia/Melbourne,False,1.136.107.89,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-37.81000137,144.96000671,2o0sWDh7ZV,1.136.107.89
True,Success,0.0,AU,Victoria,Melbourne,Optus,4804.0,Optus,False,Australia/Melbourne,False,pa49-199-17-126.pa.vic.optusnet.com.au,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-37.81000137,144.96000671,2o0sXYaByG,49.199.17.126
True,Success,0.0,ES,Castille-La Mancha,Numancia de la Sagra,Adamo,35699.0,Adamo,False,Europe/Madrid,False,cli-8f83e046.wholesale.adamo.es,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,40.06999969,-3.8499999,2o0sYz8sv6,143.131.224.70
True,Success,22.0,AU,South Australia,Adelaide,Telstra Internet,1221.0,Telstra Internet,False,Australia/Adelaide,False,1.124.105.27,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-34.93000031,138.6000061,2o0sZyArih,1.124.105.27
True,Success,0.0,AU,Queensland,Cairns,Telstra Internet,1221.0,Telstra Internet,False,Australia/Brisbane,False,cpe-101-167-14-239.qb52.nqld.asp.telstra.net,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-16.92000008,145.77000427,2o0sbB6z6g,101.167.14.239
True,Success,0.0,AT,Lower Austria,Sankt Plten,kabelplus,8339.0,kabelplus,False,Europe/Vienna,False,h081217127166.dyn.cm.kabsi.at,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,46.61999893,14.31000042,2o0scoA0rJ,81.217.127.166
True,Success,0.0,AU,Victoria,Melbourne,Optus,4804.0,Optus,False,Australia/Melbourne,False,n122-105-15-78.sun1.vic.optusnet.com.au,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-37.81000137,144.96000671,2o0seI88vG,122.105.15.78
True,Success,100.0,FR,Bourgogne-Franche-Comte,Dijon,Wifirst,52075.0,Wifirst,False,Europe/Paris,False,eth-west-pareq2-46-193-4-12.wb.wifirst.net,True,False,False,False,False,True,True,Premium required.,Premium required.,N/A,47.31999969,5.01999998,2o0sg6XJmT,46.193.4.12
True,Success,0.0,AU,Queensland,Kowanyama,Activ8me,24033.0,Activ8me,False,Australia/Brisbane,False,116-251-22-245.pool.activ8me.net.au,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-15.47000027,141.75,2o0shDVyNM,116.251.22.245
True,Success,92.0,AU,Queensland,Golden Beach,Telstra Internet,1221.0,Telstra Internet,False,Australia/Melbourne,False,1.128.109.100,True,False,False,False,False,True,False,Premium required.,Premium required.,N/A,-38.20999908,147.3999939,2o0siIn2F4,1.128.109.100
True,Success,0.0,AU,Queensland,Sandstone Point,iiNet Limited,7545.0,iiNet Limited,False,Australia/Brisbane,False,114-198-48-14.dyn.iinet.net.au,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-27.07999992,153.13000488,2o0sjimTpC,114.198.48.14
True,Success,0.0,FR,Corsica,Arbellara,Orange,3215.0,Orange,False,Europe/Paris,False,amarseille-655-1-683-43.w90-8.abo.wanadoo.fr,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,41.68000031,8.98999977,2o0slPo9wH,90.8.12.43
True,Success,0.0,AU,New South Wales,Sydney,TPG Internet,7545.0,TPG Internet,False,Australia/Sydney,False,27-33-173-177.tpgi.com.au,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-33.86000061,151.21000671,2o0smbKIZQ,27.33.173.177
True,Success,0.0,AU,Western Australia,Perth,iPrimus,9443.0,iPrimus,False,Australia/Perth,False,110.94.215.218.dyn.iprimus.net.au,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-31.95000076,115.86000061,2o0snl8tqG,218.215.94.110
True,Success,0.0,AU,Queensland,Townsville,Optus,4804.0,Optus,False,Australia/Brisbane,False,n122-109-148-164.rdl2.qld.optusnet.com.au,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-19.27000046,146.80999756,2o0sonrDA6,122.109.148.164
True,Success,0.0,AU,New South Wales,Sydney,Telstra Internet,1221.0,Telstra Internet,False,Australia/Sydney,False,cpe-143-238-174-4.nb07.nsw.asp.telstra.net,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-33.86000061,151.21000671,2o0spz5uoX,143.238.174.4
True,Success,0.0,AU,Victoria,Glen Waverley,Vodafone Australia,133612.0,Vodafone Australia,False,Australia/Melbourne,False,101.116.16.59,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-37.88000107,145.16999817,2o0srH8gMQ,101.116.16.59
True,Success,0.0,AU,Queensland,Brisbane,Telstra Internet,1221.0,Telstra Internet,False,Australia/Brisbane,False,cpe-60-226-195-112.qb07.qld.asp.telstra.net,False,False,False,False,False,False,False,Premium required.,Premium required.,N/A,-27.46999931,153.02000427,2o0sshPutE,60.226.195.112
